id,created_at,text
1071146400019169280,2018-12-07 20:56:17,b'Hopefully Mitch McConnell will ask for a VOTE on Criminal Justice Reform. It is extremely popular and has strong bi\xe2\x80\xa6 https://t.co/mHWU9f3Fj6'
1071132880368132096,2018-12-07 20:02:34,"b'Mike Pompeo is doing a great job, I am very proud of him. His predecessor, Rex Tillerson, didn\xe2\x80\x99t have the mental ca\xe2\x80\xa6 https://t.co/gJDjQCcvh7'"
1071114298926292998,2018-12-07 18:48:43,b'RT @WhiteHouse: President Trump Delivers Remarks at the 2018 Project Safe Neighborhoods National Conference https://t.co/5oV86XUX1o'
1071076523719909376,2018-12-07 16:18:37,"b'....and one of the most highly respected lawyers and legal minds in the Country, he will be a great addition to our\xe2\x80\xa6 https://t.co/mTQYgkvSiO'"
1071076519584268288,2018-12-07 16:18:36,b'I am pleased to announce that I will be nominating The Honorable William P. Barr for the position of Attorney Gener\xe2\x80\xa6 https://t.co/3eRyjNNxrv'
1071076077903040513,2018-12-07 16:16:51,"b'I am pleased to announce that Heather Nauert, Spokeswoman for the United States Department of State, will be nomina\xe2\x80\xa6 https://t.co/LlHLZ1kjuw'"
1071055923848855553,2018-12-07 14:56:46,b'We will be doing a major Counter Report to the Mueller Report. This should never again be allowed to happen to a fu\xe2\x80\xa6 https://t.co/QYwAHzsQFM'
1071053351851356160,2018-12-07 14:46:32,"b'Today, we honor those who perished 77 years ago at Pearl Harbor, and we salute every veteran who served in World Wa\xe2\x80\xa6 https://t.co/Of09Q74oeW'"
1071036505676808194,2018-12-07 13:39:36,b'It has been incorrectly reported that Rudy Giuliani and others will not be doing a counter to the Mueller Report. T\xe2\x80\xa6 https://t.co/hLyBFaNVC3'
1071030014123098112,2018-12-07 13:13:48,b'China talks are going very well!'
1071015457409384453,2018-12-07 12:15:58,"b'...the lying and leaking by the people doing the Report, &amp; also Bruce Ohr (and his lovely wife Molly), Comey, Brenn\xe2\x80\xa6 https://t.co/LPFtbHL3ZZ'"
1071009820575186945,2018-12-07 11:53:34,"b'....Foundation be listed at the top of the Report? Will the scathing document written about Lyin\xe2\x80\x99 James Comey, by t\xe2\x80\xa6 https://t.co/4Ts8go5fIm'"
1071006628487540738,2018-12-07 11:40:53,"b'.....overturned, 9-0, in the United States Supreme Court. Doing same thing to people now. Will all of the substanti\xe2\x80\xa6 https://t.co/vegfk0WWFh'"
1071003598023221248,2018-12-07 11:28:50,b'....Will Robert Mueller\xe2\x80\x99s big time conflicts of interest be listed at the top of his Republicans only Report. Will\xe2\x80\xa6 https://t.co/2nyd2eYEse'
